FieldName,FieldID,CenterRA,CenterDec,Nepochs,Nused,SpatialCalibCoefs_1,SpatialCalibCoefs_2,SpatialCalibCoefs_3,SpatialCalibCoefs_4,SpatialCalibCoefs_5,SpatialCalibCoefs_6,PMCalibCoefs_1,PMCalibCoefs_2,PMCalibCoefs_3,PMCalibCoefs_4,PMCalibCoefs_5,PMCalibCoefs_6,KMTGAIAPMRSTDRA,KMTGAIAPMRSTDDec,MeanGaiaPlx,MeanGaiaPlxErr
BLG42,41,269.05742,-29.61261,14685,13152,-1.51731488753872e-08,2.00056792482625e-07,-1.02856128102721e-07,3.80232413396558e-06,4.6959669966197,-0.51746347715053,-405.733386717933,0.172845917388213,160.363222054346,243.778899282773,-0.34055806820766,-5.35153658644743,3.55847543835299,2.96077483227204,0.185521572971857,0.114956317757353
BLG42,42,268.71842,-29.33872,14499,12997,-2.01954692747362e-06,3.6784248174744e-08,-2.19804508173695e-08,2.50488491739373e-06,4.6903018950894,-0.512398240999064,-249.290011534219,-114.485159678054,-3.4174571205066,288.154269097615,-2.90235499117272,-5.13427416472773,1.92841295199967,1.88226917979431,0.145858077232903,0.115715453818182
BLG02,43,268.02142,-29.93961,15147,13140,3.13327505990553e-07,-3.45005097657143e-08,-3.1515210939695e-07,3.39659285786769e-06,4.67782397136391,-0.523015199432081,139.443334939014,330.553815854562,-52.1668912999786,-46.767140664029,-1.97869781125256,-2.57630578157333,2.95683742997643,2.2183843655599,0.357065401250217,0.116946058428572
BLG42,44,268.02148,-29.93956,14554,13038,-2.15477459980502e-06,6.96072120012479e-08,-2.59183604229103e-07,2.19676177433643e-06,4.67821404425513,-0.522876972772803,-416.392807454892,-5.01844425398224,-9.47019979430361,388.864338832326,-2.33006478247433,-4.3795469561661,0.545997935229216,1.04654577055918,0.35749937818647,0.129082243222222
BLG02,45,267.86462,-29.83853,15224,13204,-2.01564200242169e-06,4.95623834938408e-08,2.4813596110826e-07,1.95154147290214e-06,4.67539378429,-0.521085908701052,-175.121545642344,-120.723206202713,161.874742694636,271.948846020587,-2.92146720507266,-2.47772209498306,1.6459309630543,1.93096446874888,0.285063840622016,0.10778138055
BLG42,46,267.86475,-29.83814,14637,13115,-1.69521219426416e-06,2.75661609774742e-08,2.9877091472068e-07,2.20167579276303e-06,4.67536688658841,-0.521118032253428,-474.388349041878,-55.5693815718151,-114.203918335477,323.080835292792,-2.09972396867215,-4.91440079865463,0.96556062423569,1.2950602144146,0.254513642714148,0.107884095424242
BLG03,47,271.49617,-28.10333,14696,12740,-3.86914942215509e-07,3.60023401968538e-07,-1.71516271897451e-07,2.75394017821317e-06,4.7386285526429,-0.490972791605325,-12.3230775886194,-192.894735837243,357.198499972129,-14.4969690700733,0.829464322865176,-5.60189658825874,1.76531420107745,3.18834285881919,0.0636716804851843,0.129822218409091
BLG03,48,270.33463,-28.478765,14937,12931,-1.22984724333571e-06,-2.02375693043378e-07,8.30700494244322e-07,3.19435391289503e-06,4.71823625878407,-0.497506384416429,96.6562157194272,77.9932100188349,-299.451800965342,372.669245085863,2.83896956959259,-5.06998580590922,4.69230687513984,2.62597425398848,0.283769480311478,0.110717721962963
BLG04,50,270.58348,-29.17847,7638,6560,-1.17343496960866e-06,1.10818229278826e-07,4.37461819223042e-07,3.59377134424871e-06,4.72271332026997,-0.509801895735914,-363.910802205612,9.31026888401722,-79.1332233849619,237.787777798358,-1.86686343773043,-2.06112365379834,2.27550260033583,1.55738007992314,0.316697904899859,0.115236454225806
BLG04,51,270.06408,-29.143905,7360,6321,-1.66515508471513e-06,-7.32148689348699e-08,-3.35147723397182e-07,2.60467897383964e-06,4.71380375512853,-0.509017970658275,-171.348460995467,-166.889878538893,60.3240986525682,217.558456473459,-2.93769652482446,-6.17467214155618,2.46260981603866,3.20879901278283,0.183094536026645,0.0980317829701493
BLG04,52,271.57304,-29.170375,7436,6391,-1.55419613500608e-06,9.47191813476475e-08,-3.87452980919707e-08,3.17247930680391e-06,4.74006221490313,-0.509586739487112,-339.366751010428,26.0327846193402,60.8147394215398,377.230510102435,-1.79220791693577,-4.5247915242487,1.50214903866616,2.31837543900562,0.219582707275087,0.121238343233333
BLG04,53,270.86154,-30.41735,7448,6429,-3.81435843500549e-06,2.44050676233242e-07,-3.80126985547549e-06,2.34241550265802e-06,4.72864043225239,-0.531274928606192,175.273742955493,-582.568030581357,43.2083400829893,-510.16980342276,-0.268764297490479,-1.22224531965862,0.954722211179987,1.16430456995949,0.0380705395454179,0.101336686
BLG04,54,270.00704,-30.80803,7110,5893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLG11,55,261.03353,-29.8538,3689,2716,-2.14114419706982e-06,1.31163910003603e-08,4.05461602585283e-08,1.98235515301992e-06,4.5562275396775,-0.52135165887911,-388.966006707378,-11.9976809727017,35.0116359624873,369.481742187726,-3.3700049361818,-5.63752330505342,0.644451525196532,0.773496530579027,0.104417582287846,0.112617120262295
BLG11,56,262.836925,-30.844915,3681,2710,-1.03247783794067e-06,3.55691823695717e-07,9.5611674414227e-07,2.81946598916056e-06,4.58738327704865,-0.538817775702318,-404.233177077601,-26.5915086125873,24.6091708396754,324.712959993268,-2.21930393629127,-3.51834900435318,0.983739707515557,1.46873270982716,0.215534623087852,0.115365443380952
BLG11,57,262.36079,-30.39299,3688,2714,-2.16292794561363e-06,-8.77787605476794e-09,1.02253187080134e-07,1.98927014336603e-06,4.57936576508374,-0.530742321194779,-413.128937632932,-6.20483360400141,-136.564338633613,312.633804793747,-4.60334553864898,-3.85908136093251,1.07285800535711,0.803607533756655,0.222642365144965,0.114918044265306
BLG13,58,264.21317,-34.54438,2394,1536,-2.2799819372162e-06,-4.55982506661507e-08,-1.01904762413488e-08,2.11249169608439e-06,4.6117343965359,-0.603228258730442,-269.382120456703,-90.8840838144546,102.537673697997,331.133764354542,-2.46672946121287,-3.7640110143043,0.960866475937937,0.671585899319211,0.309543149575824,0.103036280909091
BLG14,59,264.117265,-28.631935,7680,6546,-1.11706118107642e-06,-3.70856555304611e-07,-3.1053906463478e-07,3.15937896434303e-06,4.60988754579141,-0.500136329813762,-296.654782605129,-32.6100070918029,89.957994934709,376.156605505997,-2.35297995615749,-4.18591294158406,1.05263032370925,0.650950700356584,0.11572293877296,0.136544260225
BLG14,60,263.79348,-28.018085,7699,6563,-2.17098733657079e-06,-5.57750637333011e-09,2.07674586927257e-08,1.89296521407979e-06,4.60438142628968,-0.489276184374055,-507.683195993713,-79.9421171515034,-164.8263690427,325.673501037946,-2.46334776401665,-4.28060833689567,1.41990857737287,1.27266584136863,0.180852544276209,0.116187741233333
BLG14,61,264.791055,-27.94217,7692,6556,-2.11757318565771e-06,3.10236684150349e-09,6.26135579192403e-08,2.00164307032464e-06,4.62179354501849,-0.487979401766016,-293.842678764757,-50.05991221353,71.6895385471347,115.970070929611,-2.94192693646869,-4.00453885961279,1.74945046445263,2.62120223076479,0.0874889103927049,0.15726574590566
BLG14,62,264.65619,-28.03887,7677,6541,-2.02660756546867e-06,1.46591649749776e-08,-1.17603201364154e-07,2.047932538315e-06,4.61945265706768,-0.489717893242336,-392.604954441521,16.5770312227245,13.0386045918085,382.8038366003,-3.2438189008315,-4.74144535629851,0.849944014914622,0.550764286845884,0.0678885464505427,0.111630301645833
BLG14,63,264.476695,-28.55804,7553,6434,-2.0389035547759e-06,-1.89235212759363e-08,5.46952537559574e-07,2.21839813996921e-06,4.6162635767647,-0.498782618244921,-393.815021522654,58.9808896643201,6.61222327893629,431.316696882022,-1.17089385182335,-6.48545653604067,1.14076984931145,2.49790406216689,0.260935233163142,0.11298663596
BLG14,64,264.50693,-27.968645,7706,6568,-2.04646552843335e-06,-3.2447190561192e-08,3.09584009602734e-07,2.24650145224853e-06,4.61677133123373,-0.488486204449247,-354.024962559614,63.5564955561153,-36.8254470054574,410.189609205121,-3.18295863703029,-5.6684013112196,1.27853978305523,1.41989298338734,0.0475300859048915,0.1264677435
BLG14,65,263.77403,-29.92292,7686,6556,-2.3326000873248e-06,3.49037732121826e-08,-1.46498597168288e-07,1.92880550569561e-06,4.60412426766946,-0.522546573110193,-336.738620686559,3.56625516297549,-113.034534730891,393.594344275686,-3.86941760493752,-2.89773965394696,1.13323558730314,0.798547513916241,0.101500835155286,0.12783478772
BLG15,66,263.5269,-26.59005,7744,6518,-2.14431434743456e-06,5.75139313153061e-09,1.61960656849399e-08,1.92953794556254e-06,4.5997511472458,-0.464341746369627,-396.321166619991,-23.7564607097252,21.1520427021249,394.954322445667,-2.6908854897754,-5.60438556042368,0.393872715788587,0.609656188506531,0.11371510792715,0.127208408490566
BLG15,67,265.01655,-26.04321,7571,6363,-1.86019052945942e-06,5.72119023339939e-09,2.5869032915361e-07,2.30785047783438e-06,4.62567153054693,-0.454896659218976,-377.307051269479,-5.58523617971064,2.07607317979261,390.243100963085,-1.75996920144833,-4.8762847028573,0.786511745578304,0.879026696856088,0.158043768456199,0.106179197456522
BLG15,68,264.452215,-26.41404,7573,6365,-2.15915060933562e-06,2.75490857629581e-10,-6.06808123689578e-09,1.93046382344799e-06,4.61589570889536,-0.46130419168054,-328.676255209532,-142.339930272902,-24.0834412566757,469.901141916593,-2.13842045403077,-4.68291160877444,0.925750389584868,1.4545635069821,0.139272556311377,0.116512887117647
BLG15,69,264.26856,-26.24938,7649,6437,-2.06882912513684e-06,-1.49935575629492e-07,-1.25713679536916e-07,2.24003462319908e-06,4.6126986985475,-0.458420265330543,-287.905728445453,-103.228918385814,137.397425453161,305.357527293856,-3.00408400768382,-3.52760767172248,1.12547948624961,1.14317325127595,-0.04298030978894,0.113229971
BLG15,70,264.65068,-27.261825,7614,6401,-2.17831549667679e-06,8.01935217150302e-10,2.06919203449875e-07,1.96110721060896e-06,4.61932071099835,-0.476147889348064,-401.764281267801,-3.14410389068956,4.6422715818282,402.311436610095,-2.40708628374576,-5.16287563498539,0.382111128723447,0.283975801660844,0.120406703763848,0.101273872176471
BLG15,71,264.15308,-27.509995,7539,6337,-2.17454422646433e-06,-4.70303687259103e-10,-3.64545134885171e-09,1.9089650516976e-06,4.61067683160817,-0.480420651120982,-420.913383601904,-1.99426208034578,-32.3882549269537,339.877650699437,-3.58944254796712,-3.98757995258167,0.570876939032395,0.864168633757077,0.0510148069677019,0.119130447875
BLG15,72,263.735065,-26.868795,7667,6448,-2.06225731567799e-06,1.98270794724402e-07,-2.13538357977079e-07,2.28092768194699e-06,4.60340880010996,-0.469282495286797,-337.708974704085,-18.5491347587788,-66.9207208104726,184.875264175379,-0.987747499250237,-4.17866537432837,2.73271477242747,1.43647366400325,0.163308528618672,0.15159138056
BLG15,73,263.07529,-27.42093,7695,6475,-2.06039936770082e-06,3.90390145980708e-08,-4.22810414578708e-08,1.89685485261105e-06,4.59185468089076,-0.478883608753046,-430.864787943025,22.6286270331249,18.6627873519277,378.041532153513,-3.70140968546849,-4.17950949684169,1.02481523801187,0.718387821967323,0.345673961719061,0.120832622068966
BLG16,74,265.380245,-25.421725,2337,1836,-2.06853167228919e-06,-5.09605199211959e-08,1.10193484178308e-08,1.88503930515615e-06,4.63207016458866,-0.443973005946145,-292.42347376003,-136.957011856611,77.7402589884267,324.498125424976,-2.90445382791386,-5.72537378218787,1.62030313155589,1.84280077010049,0.212457471732189,0.155152011382353
BLG19,75,265.3808,-25.422225,8530,6553,-2.05691237800337e-06,4.0866068986126e-08,-1.95578509850335e-08,1.89760935338457e-06,4.632072436709,-0.443988774468241,-362.179393464214,18.163552633967,24.2048030564418,370.738744818209,-2.57540365430913,-4.70968797066291,0.469294902653049,0.524155658590727,0.130870573097178,0.153949790052632
BLG16,76,265.03026,-24.91246,3626,2616,-2.10679164326674e-06,-2.25748475164594e-08,-1.02285536886494e-08,1.92605206025141e-06,4.62599440866502,-0.435094811830424,-460.06906230243,23.1155903830507,52.6694295611152,376.232053684887,0.869556108214925,-6.70913742953966,1.36734801116844,0.809958582446348,0.305193934408199,0.164091858
